,City,Country,Lat,Lng,Cloudiness,Humidity,High Temp,Wind Speed
0,George Town,MY,5.41,100.34,20,94,78.8,5.82
1,Whitehorse,CA,60.72,-135.05,90,92,26.6,8.05
2,Ossora,RU,59.24,163.07,100,66,2.26,20.36
3,Hong Kong,HK,22.29,114.16,40,68,64.99,8.05
4,Pangai,TO,-19.8,-174.35,100,82,80.91,18.21
5,Ushuaia,AR,-54.8,-68.3,40,62,55.4,21.92
6,Saint-Philippe,RE,-21.36,55.77,75,83,80.6,12.75
7,Beringovskiy,RU,63.05,179.32,0,91,-15.2,2.28
8,Talnakh,RU,69.49,88.4,40,75,-18.4,2.24
9,Port Elizabeth,ZA,-33.92,25.57,0,64,75.2,16.11
10,Rikitea,PF,-23.12,-134.97,0,78,78.76,12.24
11,Alghero,IT,40.56,8.32,75,82,60.8,11.41
12,Khatanga,RU,71.97,102.5,81,98,-22.05,7.23
13,Mataura,NZ,-46.19,168.86,0,86,54.0,17.0
14,Bengkulu,ID,-3.8,102.27,74,88,74.75,3.04
15,Chupa,RU,66.27,33.05,100,97,34.66,14.85
16,Cigand,HU,48.26,21.89,90,93,39.99,11.18
17,Kaitangata,NZ,-46.28,169.85,0,70,53.01,1.01
18,Busselton,AU,-33.65,115.33,1,25,66.99,19.06
19,Namatanai,PG,-3.67,152.43,100,71,83.93,8.72
20,Punta Arenas,CL,-53.15,-70.92,75,44,59.0,14.99
21,Avarua,CK,-21.21,-159.78,100,88,80.6,12.75
22,Hermanus,ZA,-34.42,19.23,0,68,86.0,13.0
23,Hilo,US,19.73,-155.09,75,68,66.2,4.7
24,Mount Isa,AU,-20.73,139.5,49,27,86.0,5.82
25,Cape Town,ZA,-33.93,18.42,20,69,86.0,23.04
26,Barrow,US,71.29,-156.79,1,92,-32.8,11.41
27,Upernavik,GL,72.79,-56.15,100,95,-1.66,3.4
28,Arraial do Cabo,BR,-22.97,-42.03,40,74,84.2,6.93
29,Bredasdorp,ZA,-34.53,20.04,61,65,79.0,14.99
30,Hithadhoo,MV,-0.6,73.08,56,81,82.49,14.74
31,Bluff,NZ,-46.6,168.33,0,86,54.0,17.0
32,Saskylakh,RU,71.92,114.08,100,97,-23.3,4.88
33,Atuona,PF,-9.8,-139.03,20,77,80.51,17.76
34,Albany,US,42.6,-73.97,100,96,37.99,7.16
35,Kahului,US,20.89,-156.47,20,68,66.2,10.29
36,Puerto Ayora,EC,-0.74,-90.35,75,78,82.4,12.75
37,Fortuna,US,40.6,-124.16,1,54,36.0,6.93
38,Capreol,CA,46.71,-80.92,20,85,28.0,5.82
39,Severo-Kuril'sk,RU,50.68,156.12,98,88,19.29,14.81
40,Jamestown,US,42.1,-79.24,90,93,37.4,5.82
41,Ekibastuz,KZ,51.67,75.37,100,98,-2.38,7.72
42,Heihe,CN,50.24,127.49,100,66,14.0,8.95
43,Caarapo,BR,-22.63,-54.82,94,64,87.84,2.21
44,Sabang,ID,5.89,95.32,69,75,83.41,20.27
45,Fergus Falls,US,46.28,-96.08,40,78,23.0,12.75
46,Tuatapere,NZ,-46.13,167.68,0,86,54.0,17.0
47,Raigarh,IN,21.9,83.4,0,59,62.6,1.39
48,Saint-Augustin,CA,51.23,-58.65,100,82,19.13,21.63
49,Yar-Sale,RU,66.83,70.83,90,96,2.25,10.09
50,Hobart,AU,-42.88,147.33,90,82,64.99,5.82
51,Yacuiba,BO,-22.04,-63.68,90,100,73.4,6.93
52,Tuktoyaktuk,CA,69.45,-133.04,90,75,-20.2,5.82
53,Vao,NC,-22.67,167.48,100,84,80.15,24.81
54,Ponta do Sol,PT,32.67,-17.1,40,63,66.2,9.17
55,Walvis Bay,NA,-22.96,14.51,90,77,66.2,10.29
56,La Ronge,CA,55.1,-105.28,90,78,17.6,12.75
57,Antofagasta,CL,-23.65,-70.4,20,68,72.0,12.75
58,Nukus,UZ,42.45,59.61,97,42,30.2,13.87
59,New Norfolk,AU,-42.78,147.06,90,82,64.99,4.7
60,Port Hardy,CA,50.7,-127.42,75,93,37.4,4.7
61,Ahipara,NZ,-35.17,173.17,0,98,55.99,8.66
62,Airai,TL,-8.93,125.41,100,89,67.89,3.53
63,Esperance,AU,-33.87,121.9,90,72,60.8,9.17
64,Maceio,BR,-9.67,-35.74,75,70,86.0,10.29
65,Bac Lieu,VN,9.29,105.72,100,65,79.43,15.03
66,Tezu,IN,27.92,96.17,0,66,57.94,3.62
67,Karligan,PH,14.97,122.05,29,81,73.26,13.98
68,Xichang,CN,27.9,102.26,4,94,33.22,3.78
69,East London,ZA,-33.02,27.91,40,64,75.2,13.87
70,Dzaoudzi,YT,-12.79,45.27,90,83,82.4,11.41
71,Vaini,TO,-21.2,-175.2,20,94,77.0,5.82
72,Mersa Matruh,EG,31.35,27.25,40,54,59.0,11.41
73,Coolum Beach,AU,-26.53,153.1,96,99,71.01,0.63
74,Norden,DE,53.6,7.2,40,70,45.0,21.92
75,Krivosheino,RU,57.34,83.93,6,96,-5.44,6.58
76,Verkhnevilyuysk,RU,63.45,120.32,100,95,4.44,8.03
77,Kodiak,US,57.79,-152.41,75,72,32.0,4.7
78,Tambo,PE,-14.8,-73.92,86,79,54.41,9.22
79,Kavieng,PG,-2.57,150.8,100,78,83.34,14.83
80,Fort Nelson,CA,58.81,-122.7,75,72,17.6,3.36
81,Laguna,US,38.42,-121.42,1,29,55.4,14.99
82,Itarema,BR,-2.92,-39.92,53,70,86.0,9.66
83,Port Alfred,ZA,-33.59,26.89,0,83,71.01,3.0
84,Singaparna,ID,-7.35,108.11,45,86,71.87,2.93
85,Tura,IN,25.52,90.22,0,44,59.92,2.77
86,Banjar,ID,-8.19,114.97,40,94,80.6,3.36
87,Angoche,MZ,-16.23,39.91,2,89,80.76,6.49
88,Rantepao,ID,-2.97,119.9,100,96,68.14,0.96
89,Mahebourg,MU,-20.41,57.7,75,94,77.0,13.87
90,Troitskoye,RU,52.98,84.68,100,95,7.57,3.38
91,Kulhudhuffushi,MV,6.62,73.07,0,81,81.82,13.38
92,Tasiilaq,GL,65.61,-37.64,75,46,28.4,5.82
93,Kapaa,US,22.08,-159.32,90,77,68.0,29.97
94,Qaanaaq,GL,77.48,-69.36,0,61,-5.89,2.39
95,Viedma,AR,-40.81,-63.0,73,28,77.52,14.38
96,Provideniya,RU,64.38,-173.3,0,77,-14.24,4.34
97,Ilulissat,GL,69.22,-51.1,75,71,5.0,6.93
98,San Vicente,AR,-26.62,-54.13,0,99,75.99,5.03
99,Cayenne,GF,4.93,-52.33,45,83,82.4,14.99
100,Khandyga,RU,62.67,135.6,84,78,-10.07,3.51
101,Grindavik,IS,63.84,-22.43,75,69,33.8,27.51
102,Butaritari,KI,3.07,172.79,74,79,83.93,13.06
103,Puerto Escondido,MX,15.85,-97.07,5,88,80.6,3.36
104,Lavrentiya,RU,65.58,-171.0,10,82,-18.71,2.98
105,Soavinandriana,MG,-19.17,46.73,40,78,74.08,4.27
106,Carnarvon,AU,-24.87,113.63,0,94,75.2,10.29
107,Dalvik,IS,65.97,-18.53,90,86,33.8,23.04
108,Constitucion,CL,-35.33,-72.42,0,57,69.87,5.86
109,Onega,RU,63.91,38.14,100,85,33.37,16.62
110,Port Hedland,AU,-20.32,118.57,40,83,80.6,8.05
111,San Rafael,AR,-34.62,-68.33,99,58,70.25,6.49
112,Bambous Virieux,MU,-20.34,57.76,75,94,77.0,13.87
113,Tigil,RU,57.8,158.67,100,79,2.5,10.83
114,Nichinan,JP,31.6,131.37,0,66,50.86,9.78
115,Leningradskiy,RU,69.38,178.42,0,96,-22.94,8.39
116,Hualmay,PE,-11.1,-77.61,17,62,77.23,8.19
117,Tsimmerbude,RU,54.67,20.13,75,87,42.8,22.37
118,Seoul,KR,37.57,126.98,1,74,32.0,1.12
119,Jumla,NP,29.27,82.18,0,57,28.54,4.16
120,Kloulklubed,PW,7.04,134.26,75,78,80.6,11.41
121,Sanquhar,GB,55.37,-3.92,75,93,37.0,20.8
122,The Valley,AI,18.22,-63.06,40,65,84.0,13.87
123,Kailua,US,21.4,-157.74,75,88,68.0,14.99
124,Shevchenkove,UA,49.7,37.17,14,73,23.0,13.42
125,Pandan,PH,14.05,124.17,99,72,76.71,20.83
126,Mar del Plata,AR,-38.0,-57.56,75,59,66.0,2.24
127,Zonguldak,TR,41.25,31.83,0,71,29.84,0.69
128,Rincon,US,32.3,-81.24,1,72,73.0,6.67
129,Tiffin,US,41.11,-83.18,90,93,37.99,6.93
130,Shakiso,ET,5.75,38.92,0,20,83.28,8.19
131,Yellowknife,CA,62.46,-114.35,90,84,0.0,6.93
132,Shulan,CN,44.42,126.95,0,75,13.68,6.73
133,Tiksi,RU,71.69,128.87,37,97,-19.98,3.33
134,Ust-Nera,RU,64.57,143.2,0,91,-34.49,0.78
135,Lorengau,PG,-2.02,147.27,100,79,83.77,16.98
136,San Patricio,MX,19.22,-104.7,5,78,75.2,5.82
137,Port Augusta,AU,-32.5,137.77,0,78,73.4,6.93
138,Lebu,CL,-37.62,-73.65,0,47,73.47,9.42
139,Saldanha,ZA,-33.01,17.94,2,42,82.4,19.46
140,Nanortalik,GL,60.14,-45.24,100,62,21.94,25.97
141,Davenda,RU,53.56,119.32,93,96,7.45,4.29
142,Pontianak,ID,-0.03,109.33,69,95,73.99,1.16
143,Pisco,PE,-13.7,-76.22,63,30,75.0,8.05
144,Lata,PT,40.16,-8.33,20,72,64.99,8.05
145,Kysyl-Syr,RU,63.9,122.76,100,96,-6.03,14.2
146,Takoradze,GH,4.88,-1.76,85,57,88.07,3.74
147,Bethel,US,41.37,-73.41,90,86,46.0,9.17
148,Okato,NZ,-39.2,173.88,31,82,54.0,1.01
149,Sorong,ID,-0.88,131.25,58,92,74.86,3.8
150,Canon City,US,38.44,-105.24,90,92,28.4,3.74
151,Banapur,IN,19.78,85.18,24,65,68.99,2.48
152,Andenes,NO,69.31,16.12,75,80,33.8,3.36
153,Sao Sebastiao,BR,-23.76,-45.41,100,85,73.4,8.41
154,Sitka,US,57.05,-135.33,90,93,42.8,14.99
155,Great Bend,US,38.36,-98.76,1,100,30.99,4.92
156,Santona,ES,43.44,-3.46,75,82,61.0,9.17
157,Araouane,ML,18.9,-3.53,100,8,87.33,17.81
158,Rio Grande,BR,-32.03,-52.1,75,61,78.8,13.87
159,Bayan,CN,46.08,127.4,0,91,3.36,8.43
160,Sihor,IN,21.7,71.97,0,60,73.4,5.82
161,Narsaq,GL,60.92,-46.05,20,47,12.2,5.82
162,Ribeira Grande,PT,38.52,-28.7,75,77,64.4,5.82
163,Oranjestad,AW,12.52,-70.03,40,66,86.0,23.04
164,Along,IN,28.17,94.77,0,83,52.48,2.46
165,Alofi,NU,-19.06,-169.92,52,82,79.74,15.79
166,Saint George,US,37.1,-113.58,1,60,37.99,2.82
167,Gimli,CA,50.63,-96.99,100,94,19.0,3.0
168,Coquimbo,CL,-29.95,-71.34,90,77,64.4,9.17
169,Santa Catalina,PH,9.33,122.86,85,89,72.0,14.16
170,Norman Wells,CA,65.28,-126.83,90,84,5.0,4.72
171,Invermere,CA,50.52,-116.04,76,91,10.99,2.26
172,Clyde River,CA,70.47,-68.59,75,75,-13.0,17.22
173,Arman,RU,59.7,150.17,12,74,0.19,6.24
174,Husavik,IS,66.04,-17.34,90,86,33.8,23.04
175,Okhotsk,RU,59.38,143.3,57,65,-9.47,3.74
176,Alice Springs,AU,-23.7,133.88,44,20,87.8,11.41
177,Dobson,US,36.4,-80.72,90,80,48.99,3.36
178,Yulara,AU,-25.24,130.99,35,58,82.4,1.12
179,Brae,GB,60.4,-1.35,94,93,41.0,17.22
180,Talara,PE,-4.58,-81.27,63,100,62.6,14.99
181,Poroshkovo,UA,48.67,22.75,90,93,42.01,11.18
182,Kumul,CN,42.8,93.45,0,55,19.69,2.1
183,Igarka,RU,67.47,86.58,91,99,-22.49,7.81
184,Cabo San Lucas,MX,22.89,-109.91,75,88,68.0,6.93
185,Olafsvik,IS,64.89,-23.71,100,69,32.45,20.74
186,Vathy,GR,38.4,23.6,20,44,59.0,3.36
187,Beloha,MG,-25.17,45.05,33,51,85.68,12.19
188,Lovington,US,32.94,-103.35,90,86,33.8,10.29
189,Rawson,AR,-43.3,-65.1,0,53,73.33,10.25
190,Juneau,US,58.3,-134.42,90,86,39.2,12.75
191,Den Helder,NL,52.96,4.76,90,70,48.2,23.04
192,Miles City,US,46.41,-105.84,20,73,28.0,16.11
193,Karratha,AU,-20.74,116.85,29,85,79.88,15.97
194,Katobu,ID,-4.94,122.53,100,89,75.45,2.59
195,Cuiluan,CN,47.72,128.65,84,93,5.9,5.7
196,Haines Junction,CA,60.75,-137.51,100,96,15.6,2.19
197,Katsuura,JP,35.13,140.3,20,49,46.4,17.22
198,Thompson,CA,55.74,-97.86,75,84,-2.2,4.7
199,Bulungu,CD,-4.55,18.6,100,91,70.7,3.06
200,Satuk,TR,41.23,32.38,0,79,23.67,3.22
201,Castro,BR,-24.79,-50.01,100,99,61.3,6.17
202,Oriximina,BR,-1.77,-55.87,34,73,83.08,5.93
203,Katherine,AU,-14.47,132.27,100,78,78.8,9.17
204,Palana,RU,59.12,159.97,100,71,1.22,9.08
205,Cienfuegos,CU,22.15,-80.44,20,57,80.6,11.41
206,Tual,ID,-5.67,132.75,100,76,83.01,14.25
207,Nikel,RU,69.41,30.22,90,99,32.0,23.04
208,Toora-Khem,RU,52.47,96.11,80,90,17.85,2.1
209,Broome,US,42.25,-75.83,90,100,39.0,5.82
210,Prainha,BR,-1.8,-53.48,43,59,87.48,6.02
211,Kiama,AU,-34.68,150.87,90,100,71.6,5.7
212,Dikson,RU,73.51,80.55,2,95,-17.36,3.44
213,Kampong Cham,KH,11.99,105.46,35,60,76.32,4.59
214,Samarai,PG,-10.62,150.67,48,87,76.41,3.78
215,Kieta,PG,-6.22,155.63,100,77,80.94,4.41
216,Carutapera,BR,-1.2,-46.02,0,74,82.13,8.7
217,Pyshma,RU,56.95,63.25,89,88,9.9,9.62
218,Tateyama,JP,34.98,139.87,20,49,46.4,17.22
219,Ponta Delgada,PT,37.73,-25.67,20,82,62.6,6.93
220,Peleduy,RU,59.63,112.74,100,92,15.66,4.99
221,Nikolskoye,RU,59.7,30.79,75,86,35.6,13.42
222,Bonfim,BR,3.08,-59.95,3,43,88.43,8.19
223,Hambantota,LK,6.12,81.12,75,78,80.6,6.93
224,Darab,IR,28.75,54.54,22,55,57.07,11.5
225,Golkoy,TR,40.69,37.62,20,81,32.0,5.82
226,Charters Towers,AU,-20.1,146.27,8,87,76.14,4.34
227,New Baltimore,US,42.68,-82.74,90,90,35.01,4.7
228,Quatre Cocos,MU,-20.21,57.76,75,94,77.0,13.87
229,Vaitape,PF,-16.52,-151.75,75,80,82.13,17.43
230,Vanimo,PG,-2.67,141.3,31,80,82.56,20.62
231,Slave Lake,CA,55.28,-114.77,1,58,26.6,5.82
232,Periyapatti,IN,10.75,77.27,20,47,80.6,10.29
233,Antalya,TR,36.77,30.72,0,49,48.2,4.7
234,Taoudenni,ML,22.68,-3.98,98,5,91.02,17.05
235,Flinders,AU,-34.58,150.86,90,100,71.6,5.7
236,Burgeo,CA,47.62,-57.62,100,72,27.9,23.44
237,Nyazepetrovsk,RU,56.05,59.6,100,89,6.94,11.43
238,Kenai,US,60.55,-151.26,1,68,28.4,12.75
239,Micheweni,TZ,-4.97,39.83,0,74,82.8,13.58
240,Meadow Lake,US,34.8,-106.54,90,93,39.99,4.7
241,Hirara,JP,24.8,125.28,58,60,64.38,11.99
242,Safi,MA,32.3,-9.24,0,45,72.75,10.18
243,Jiangyou,CN,31.77,104.72,98,78,39.18,0.45
244,Lebork,PL,54.54,17.75,75,86,45.0,20.8
245,Camden,US,39.78,-74.97,75,70,46.99,24.16
246,Zelenoborskiy,RU,66.84,32.36,100,98,34.66,17.52
247,Garoowe,SO,8.41,48.48,54,17,86.18,3.18
248,Fukuecho,JP,32.69,128.84,90,57,51.8,9.17
249,Morant Bay,JM,17.88,-76.41,40,62,86.0,23.04
250,Ancud,CL,-41.87,-73.82,0,68,68.0,5.82
251,Luderitz,NA,-26.65,15.16,0,57,77.0,26.4
252,Abaza,RU,52.66,90.09,100,95,18.93,3.24
253,Valley,US,45.13,-116.13,40,84,8.6,6.2
254,Saint-Ambroise,CA,48.55,-71.33,90,92,24.01,5.82
255,Mabaruma,GY,8.2,-59.78,0,49,86.56,4.79
256,Mehamn,NO,71.04,27.85,90,86,33.8,11.41
257,Sotnikovo,RU,51.88,107.48,45,84,-2.2,4.47
258,Yarmouth,US,41.71,-70.23,75,75,46.99,18.34
259,Mayo,US,38.89,-76.51,90,93,48.0,11.41
260,College,US,64.86,-147.8,90,77,-0.99,5.82
261,Banda Aceh,ID,5.56,95.32,61,90,74.88,4.85
262,Oranjemund,NA,-28.55,16.43,6,71,70.52,22.86
263,Dukat,RU,62.55,155.55,0,45,-17.32,3.53
264,Newport,GB,51.59,-3.0,97,86,48.0,24.16
265,Benghazi,LY,32.12,20.07,100,59,59.5,12.21
266,Hofn,IS,64.25,-15.21,75,64,35.6,9.17
267,Bathsheba,BB,13.22,-59.52,40,58,84.2,23.04
268,Ugoofaaru,MV,5.67,73.0,15,77,82.51,20.83
269,Mount Gambier,AU,-37.83,140.77,90,93,62.6,13.87
270,Srednekolymsk,RU,67.45,153.68,100,56,-19.66,1.92
271,Noumea,NC,-22.28,166.46,100,94,82.0,1.12
272,Saint-Pierre,RE,-21.34,55.48,75,83,80.6,12.75
273,Skjervoy,NO,70.03,20.97,90,74,33.8,1.12
274,Tautira,PF,-17.73,-149.15,0,83,77.0,2.24
275,Hobyo,SO,5.35,48.53,40,71,77.68,17.09
276,Chui,UY,-33.7,-53.46,83,61,71.28,9.1
277,Peruibe,BR,-24.32,-47.0,100,83,73.74,2.91
278,Souillac,MU,-20.52,57.52,75,94,77.0,13.87
279,Zhigansk,RU,66.77,123.37,100,78,-6.48,5.91
280,Taku,CN,39.02,117.65,0,38,32.0,4.47
281,Serov,RU,59.6,60.58,50,90,12.72,5.79
282,Belyye Berega,RU,53.21,34.66,75,74,30.2,22.37
283,Port Blair,IN,11.67,92.75,10,74,81.12,16.89
284,Port Macquarie,AU,-31.43,152.92,54,100,68.0,11.68
285,Malinovoye Ozero,RU,51.68,79.78,100,95,5.99,5.26
286,Puerto Gaitan,CO,4.31,-72.08,27,34,91.06,15.77
287,Plettenberg Bay,ZA,-34.05,23.37,41,80,71.15,15.28
